"","Assigned To","RESOLVED MERCHANT NAME","Confidence Level
(Resolved = 3
Unsure = 2
Can"t Resolve = 1)","Category (Flag = 1 if category is wrong )","MERCHANT NAME FOR GOOGLE SEARCH","num_tansactions","higest_amount","Original Transaction Descriptor (Use this field for reference)","lowest_amount","lowest_amount_descriptor","Category","other_information","Remarks, if any (Please input the category name for wrong categories i.e. Flag = 1 OR any other info you want to share)","Notes"
"33205","DC","","","","CANVASPEOPL","309","337.3","PAYPAL *CANVASPEOPL      402-935-7733 CA","-74.8","PAYPAL *CANVASPEOPL      855-637-2253 CA","{"Printing": 309}","{"PAYPAL": 309}","",""
"33035","DC","","","","BOBS RESORT","309","196.2","BOBS RESORT              GETTYSBURG   SD","1.6","BOBS RESORT              GETTYSBURG   SD","{"Gas": 309}","","",""
"27386","DC","","","","Alliance for Advanced","309","265.8","PSV*Alliance for Advanced800-7904376  MD","-249","PSV*Alliance for Advanced800-7904376  MD","{"Shopping": 309}","","",""
"33079","DC","","","","2 COCOM TFC","309","129.9","2COCOM*TFC ONLINE        8882471614   GA","1.4","2COCOM*TFC ONLINE        8882471614   GA","{"Shopping": 309}","{"ONLINE": 309}","",""
"33149","DC","","","","YODOBASHI","308","615.4","YODOBASHI CAMERA WEB     TOKYO","-140.9","YODOBASHI CAMERA WEB     TOKYO        JPN","{"Shopping": 308}","{"CAMERA WEB": 308}","",""
"33461","DC","","","","WORLD BEAN","308","61.8","WORLD BEAN               8665083558   MN","1.3","WORLD BEAN               8665083558   MN","{"Restaurants": 308}","","",""
"33226","DC","","","","TPA STREET PARKING","308","12.3","TPA STREET PARKING       8132748179   FL","0.1","TPA STREET PARKING 2     TAMPA        FL","{"Parking": 308}","","",""
"33142","DC","","","","TOPGOLF CSTR EGIFTCARD","308","400","TOPGOLF CSTR EGIFTCARD   877-850-1977 ME","-50","TOPGOLF CSTR EGIFTCARD   877-850-1977 ME","{"Uncategorized": 308}","","",""
"33645","DC","","","","THE STAMPS OF LIFE","308","397.6","THE STAMPS OF LIFE       949-8312230  CA","-397.6","THE STAMPS OF LIFE       949-8312230  CA","{"Shopping": 308}","","",""
"47576","DC","","","","MS PAIA","308","73.8","MS PAIA                  PAIA         HI","0.5","MS PAIA                  PAIA         HI","{"Gas": 308}","","",""
"57350","DC","","","","MR","308","981","MR PORTER.COM            877-535-3677 NJ","-934.5","MR PORTER.COM            877-535-3677 NJ","{"Clothing": 308}","{"PP": 4, "PAYPAL": 46, "TIDY SALES": 7, "SQ SQ": 4, "IBNOULMOUJAHID ABDES": 1, "NICE GUY": 1, "PAYPAL EBAY": 11, "SP": 1, "SQ": 11, "DOORDASH": 2}","",""
"33179","DC","","","","MODERNIMAGE","308","145","PP*MODERNIMAGE           GRETNA       NE","-26.7","PAYPAL *MODERNIMAGE      402-935-7733 NE","{"Sporting Goods": 308}","{"PP": 174, "PAYPAL": 134}","",""
"33168","DC","","","","MMS UMSMEDCTR","308","17","MMS UMSMEDCTR 00359950   JACKSON      MS","0","MMS UMSMEDCTR 00359950   JACKSON      MS","{"Restaurants": 308}","","",""
"33208","DC","","","","MARU LIMO","308","762","MARU LIMO                212-2392020  NY","-285.6","MARU LIMO                212-2392020  NY","{"Rental Car & Taxi": 308}","","",""
"26405","DC","","","","liweiguo","308","107.1","GOOGLE *liweiguo         g.co/helppay#CA","0.8","GOOGLE *liweiguo         g.co/helppay#CA","{"Entertainment": 308}","{"GOOGLE": 308}","",""
"33180","DC","","","","LEESFAMOUSRECIPE","308","66.8","LEESFAMOUSRECIPE         BARDSTOWN    KY","2","LEESFAMOUSRECIPE         OWENSBORO    KY","{"Restaurants": 308}","","",""
"32606","DC","","","","KING","308","108.6","GOOGLE*KING GOOGLE PAYMEN G.CO HELPPAY","0.9","GOOGLE*KING GOOGLE PAYMEN G.CO HELPPAY","{"Entertainment": 308}","{"GOOGLE PAYMEN": 308}","",""
"33162","DC","","","","KAIYUH SERVICES LLC","308","28.9","KAIYUH SERVICES LLC      DURHAM       NC","0.5","KAIYUH SERVICES LLC      DURHAM       NC","{"Fast Food": 308}","","",""
"33117","DC","","","","JETPENS.COM","308","501.2","JETPENS.COM              415-376-6755 CA","-50","JETPENS.COM              4153766755   CA","{"Shopping": 308}","{"BT": 12}","",""
"33319","DC","","","","HICV OR LAKE FD TSW","308","975.3","HICV OR LAKE FD TSW      KISSIMMEE    FL","-446.3","HICV OR LAKE FD TSW      KISSIMMEE    FL","{"Hotel": 308}","","",""
"36717","DC","","","","GUINNESS STOREHOUSE","308","223.7","GUINNESS STOREHOUSE      DUBLIN","4.4","GUINNESS STOREHOUSE      DUBLIN","{"Restaurants": 308}","","",""
"33233","DC","","","","GREAT WOLF SANDUSKY","308","846.9","GREAT WOLF SANDUSKY      SANDUSKY     OH","-272.9","GREAT WOLF SANDUSKY      SANDUSKY     OH","{"Hotel": 308}","","",""
"33140","DC","","","","GLENDALE BRAND","308","3","GLENDALE BRAND           GLENDALE     CA","0.2","GLENDALE BRAND           GLENDALE     CA","{"Uncategorized": 308}","","",""
"33192","DC","","","","DENTON VEHREG","308","523.2","DENTON VEHREG            EGOV.COM     TX","6.7","DENTON VEHREG            EGOV.COM     TX","{"Uncategorized": 308}","","",""
"33267","DC","","","","CUDDLEDOWN VIP","308","16.3","PGI*CUDDLEDOWN VIP       888-616-3808 MA","-16.3","PGI*CUDDLEDOWN VIP       888-616-3808 MA","{"Shopping": 308}","{"PGI": 308}","",""
"33535","DC","","","","COMM HLTH NTWK EPIC POS","308","978.3","COMM HLTH NTWK EPIC POS  INDIANAPOLIS IN","-275","COMM HLTH NTWK EPIC POS  INDIANAPOLIS IN","{"Doctor": 308}","","",""
"33195","DC","","","","COKE CORNER","308","72","COKE CORNER - DL         ANAHEIM      CA","-8.6","COKE CORNER - DL         ANAHEIM      CA","{"Fast Food": 308}","","",""
"33183","DC","","","","CENTRALDISPATCH.COM","308","264.9","CENTRALDISPATCH.COM      858-259-6084 NY","9.9","CENTRALDISPATCH.COM      858-259-6084 NY","{"Travel": 308}","","",""
"33274","DC","","","","CALICO COFFEE CO","308","54.9","SQ *CALICO COFFEE CO.    Kearney      NE","-2.7","SQ *CALICO COFFEE CO.    Kearney      NE","{"Fast Food": 308}","{"SQ": 303}","",""
"33145","DC","","","","CA"S GREAT AMERICA","308","609.7","CA"S GREAT AMERICA ONLINE408-988-1776 CA","-32.9","CA"S GREAT AMERICA ONLINESANTA CLARA  CA","{"Entertainment": 308}","{"ONLINE": 308}","",""
"33121","DC","","","","BKSMYSTERY GUILD","308","74.9","BKSMYSTERY GUILD         716-250-5700 NY","-20.1","BKSMYSTERY GUILD         8552031744   NY","{"Shopping": 308}","","",""
"33245","DC","","","","ZAUG WASH","307","26","ZAUG WASH                RAPID CITY   SD","5","ZAUG WASH                RAPID CITY   SD","{"Service & Parts": 307}","","",""
"42805","DC","","","","W . CHESTERFIELD IRVING","307","184.7","W. CHESTERFIELD IRVING   CHESTERFIELD NH","2.1","W. CHESTERFIELD IRVING   CHESTERFIELD NH","{"Gas": 307}","","",""
"54709","DC","","","","VILLIAGE FAST","307","267.6","VILLIAGE FAST 00136416   MT AUBURN    IL","3.2","VILLIAGE FAST 00136416   MT AUBURN    IL","{"Gas": 307}","","",""
"33305","DC","","","","VALESKIS","307","108.4","VALESKIS 4TH STREET      INDIANA      PA","0.9","VALESKIS 4TH STREET      INDIANA      PA","{"Groceries": 307}","","",""
"33297","DC","","","","Tax Pmnt Conven Fee","307","77.5","Tax Pmnt Conven Fee      WHITINSVILLE MA","2.5","Tax Pmnt Conven Fee      WHITINSVILLE MA","{"Taxes": 307}","","",""
"34507","DC","","","","SOUTH BEACH CASINO","307","430.5","SOUTH BEACH CASINO - F   SCANTERBURY  MB","4.1","SOUTH BEACH CASINO - F   SCANTERBURY  MB","{"Hotel": 307}","","",""
"33246","DC","","","","QUAYUSA","307","520.3","SP * QUAYUSA             4158512295   CA","-381.2","SP * QUAYUSA             4158512295   CA","{"Clothing": 307}","{"SP": 307}","",""
"33558","DC","","","","NSHORHOSP AUBONPAIN","307","72","NSHORHOSP AUBONPAIN248   MANHASSET    NY","1.5","NSHORHOSP AUBONPAIN248   MANHASSET    NY","{"Shopping": 307}","","",""
"53173","DC","","","","MISSION NUTRITI","307","148.8","SQ *MISSION NUTRITI      SIOUX FALLS  SD","2.1","SQ *MISSION NUTRITI      SIOUX FALLS  SD","{"Doctor": 307}","{"SQ": 307}","",""
"33282","DC","","","","MILLERS PRO IMAGING","307","510.2","MILLERS*PRO IMAGING      800-835-0603 KS","9.5","MILLERS PRO IMAGING      800-835-0603 KS","{"Business Services": 307}","","",""
"33280","DC","","","","LEO S ELITE BAKERY","307","566.5","LEO`S ELITE BAKERY       EAST ROCHESTENY","-20.5","LEO`S ELITE BAKERY       585-2491007  NY","{"Groceries": 307}","","",""
"33216","DC","","","","KCS DOCKSIDE BAR AND GRIL","307","400","KCS DOCKSIDE BAR AND GRILBOTTINEAU    ND","5","KCS DOCKSIDE BAR AND GRILBOTTINEAU    ND","{"Restaurants": 307}","","",""
"61383","DC","","","","JJ HOOLIGANS","307","175","JJ HOOLIGANS             LINCOLN      NE","3.5","JJ HOOLIGANS             LINCOLN      NE","{"Alcohol & Bars": 307}","","",""
"33239","DC","","","","JAIMES RESTAURANT","307","151","JAIMES RESTAURANT        DENVER       CO","7.2","JAIMES RESTAURANT        DENVER       CO","{"Restaurants": 307}","","",""
"20000","DC","","","","GRAND FALLS BIGDROP CAFE","307","375.2","GRAND FALLS BIGDROP CAFE LARCHWOOD    IA","1.6","GRAND FALLS BIGDROP CAFE LARCHWOOD    IA","{"Restaurants": 307}","","",""
"34787","DC","","","","Farm Heroes Sa","307","59.9","GOOGLE *Farm Heroes Sa   g.co/helppay#CA","0.9","GOOGLE *Farm Heroes Sa   g.co/helppay#CA","{"Electronics & Software": 307}","{"GOOGLE": 307}","",""
"37064","DC","","","","ELITESINGLES.com","307","269.7","ELITESINGLES.com         800-9426026  DE","-269.7","ELITESINGLES.com         LLC          DE","{"Entertainment": 307}","","",""
"33306","DC","","","","DELI PIONEER WOMAN","307","673.6","DELI PIONEER WOMAN       Pawhuska     OK","-14.1","DELI PIONEER WOMAN       Pawhuska     OK","{"Restaurants": 307}","","",""
"33240","DC","","","","CUZN"S CORNER","307","231.1","CUZN"S CORNER            BONESTEEL    SD","4.2","CUZN"S CORNER            BONESTEEL    SD","{"Gas": 307}","","",""
"63134","DC","","","","CULTUREMAPST","307","416.7","CULTUREMAPST2570         HOUSTON      TX","-43.2","CULTUREMAPST2571         HOUSTON      TX","{"Clothing": 307}","","",""
"33264","DC","","","","CHCO POS CAFETERIA","307","49.1","CHCO POS CAFETERIA NP    AURORA       CO","0.7","CHCO POS CAFETERIA NP    AURORA       CO","{"Restaurants": 307}","","",""
"33258","DC","","","","CARROLL THEATREVIDEO WARE","307","64","CARROLL THEATREVIDEO WARECARROLL      IA","1","CARROLL THEATREVIDEO WARECARROLL      IA","{"Movies & DVDs": 307}","","",""
"39608","DC","","","","BCO MART","307","219","9901 BCO MART            MARTINSBURG  PA","1.5","9901 BCO MART            MARTINSBURG  PA","{"Gas": 307}","","",""
"33261","DC","","","","B & F SUPER FOODS","307","203","B & F SUPER FOODS        NEDERLAND    CO","1.4","B & F SUPER FOODS  S     NEDERLAND    CO","{"Groceries": 307}","","",""
"33234","DC","","","","- 55 EAST MONROE","307","375","72403 - 55 EAST MONROE   CHICAGO      IL","9","72403 - 55 EAST MONROE   CHICAGO      IL","{"Parking": 307}","","",""
"33360","DC","","","","VILLAGER OF STORM LAKE","306","134.6","VILLAGER OF STORM LAKE   STORM LAKE   IA","2.2","VILLAGER OF STORM LAKE   STORM LAKE   IA","{"Restaurants": 306}","","",""
"33422","DC","","","","TOMMY JACKS","306","138","TOMMY JACKS 605 367 9706 SIOUX FALLS  SD","3.7","TOMMY JACKS 605-36       SIOUX FALLS  SD","{"Restaurants": 306}","","",""
"32899","DC","","","","TME OutdrLif","306","36.3","TME*48KH4P*OutdrLif      855-427-1653 NY","-27.2","TME*48KH4P*OutdrLif      855-427-1653 NY","{"Shopping": 306}","","",""
"33400","DC","","","","T 2 CIBO EXPRESS","306","106","T2 CIBO EXPRESS 69       QUEENS       NY","-27.8","T2 CIBO EXPRESS FH       QUEENS       NY","{"Groceries": 306}","","",""
"33353","DC","","","","STEVE DEYOUNG","306","299.2","STEVE DEYOUNG            WYOMING      MI","0.9","STEVE DEYOUNG            WYOMING      MI","{"Groceries": 306}","","",""
"33367","DC","","","","SAMS TOWN HOTEL","306","849.7","SAMS TOWN HOTEL LASVEG   LAS VEGAS    NV","-345","SAMS TOWN HOTEL LASVEG   7024567777   NV","{"Hotel": 306}","","",""
"47293","DC","","","","RESERVATIONCOUNTER.COM","306","982.2","RESERVATIONCOUNTER.COM   844-2802268  UT","-966.6","RESERVATIONCOUNTER.COM   844-2802268  UT","{"Travel": 306}","{"RE": 5}","",""
"68527","DC","","","","RE SMITH OIL & TIRE COIN","306","587.3","RE SMITH OIL&TIRE COIN   NORWOOD      MN","2.1","RE SMITH OIL&TIRE COIN   NORWOOD      MN","{"Gas": 306}","","",""
"33355","DC","","","","QVC CSHSTR GFTCRD","306","500","QVC CSHSTR GFTCRD        877-850-1977 ME","-50","QVC CSHSTR GFTCRD        877-850-1977 ME","{"Uncategorized": 306}","","",""
"33352","DC","","","","PURE COLLECTION CC","306","835.2","PURE COLLECTION CC1 MO   HARROGATE","-744.2","PURE COLLECTION CC1 MO   HARROGATE","{"Clothing": 306}","","",""
"33406","DC","","","","PUBLICSURPLUS","306","979.9","PUBLICSURPLUS            801-932-7000 UT","-142.5","PUBLICSURPLUS            801-932-7000 UT","{"Shopping": 306}","","",""
"33396","DC","","","","PIZZA POINT","306","69.1","PIZZA POINT              LAS VEGAS    NV","1.5","PIZZA POINT              LAS VEGAS    NV","{"Alcohol & Bars": 306}","","",""
"33419","DC","","","","OHV BOAT SNOW COPARKIVRS","306","291","OHV BOAT SNOW COPARKIVRS 303-791-1920 CO","25.2","OHV BOAT SNOW COPARKIVRS 303-791-1920 CO","{"Uncategorized": 306}","","",""
"33420","DC","","","","NUTSDOTCOM","306","365.7","PAYPAL *NUTSDOTCOM       4029357733   NJ","-17.9","PAYPAL *NUTSDOTCOM       8005586887   NJ","{"Groceries": 306}","{"PAYPAL": 306}","",""
"32401","DC","","","","MUDDY PAWS","306","280","SQ *MUDDY PAWS           West Fargo   ND","8.9","SQ *MUDDY PAWS           West Fargo   ND","{"Business Services": 306}","{"SQ SQ": 2, "SQ": 300}","",""
"33431","DC","","","","MONUMENT VLY TRADE POS","306","485.5","MONUMENT VLY TRADE POS   MONUMENT VALLUT","-37.2","MONUMENT VLY TRADE POS   MONUMENT VALLUT","{"Shopping": 306}","","",""
"33310","DC","","","","MCO CAMDEN FOOD GATES","306","147.2","MCO CAMDEN FOOD GATES    ORLANDO      FL","3.1","MCO CAMDEN FOOD GATES    ORLANDO      FL","{"Restaurants": 306}","","",""
"33647","DC","","","","MAST STORE","306","339.1","MAST STORE GREENVILLE    GREENVILLE   SC","-74.1","MAST STORE GREENVILLE 000GREENVILLE   SC","{"Shopping": 306}","","",""
"33347","DC","","","","MASABI-LLC ACE","306","300","MASABI-LLC ACE-BUSTANG   800-900-3011 CO","5","MASABI-LLC ACE-BUSTANG   800-900-3011 CO","{"Travel": 306}","","",""
"52594","DC","","","","MARSHALL STOP","306","97.6","MARSHALL STOP            ST PAUL      MN","-1.9","MARSHALL STOP            ST PAUL      MN","{"Gas": 306}","","",""
"41290","DC","","","","MAJOR AUTO / TRUCK","306","475","MAJOR AUTO/TRUCK 2003    VINELAND     NJ","9.8","MAJOR AUTO/TRUCK 2001    ROSENHAYN    NJ","{"Gas": 306}","","",""
"34175","DC","","","","LUCIDCHART.COM/CHARGE","306","630","LUCIDCHART.COM/CHARGE    WWW.GOLUCID.CUT","-119.4","LUCIDCHART.COM/CHARGE    SOUTH JORDAN UT","{"Electronics & Software": 306}","","",""
"33315","DC","","","","HNFSWEST TYA","306","716","HNFSWEST TYA             8448669378   CA","-214","HNFSWEST TYA             RANCHOCORDOVACA","{"Financial": 306}","","",""
"33433","DC","","","","GMC FOOD SERVICE","306","29.8","GMC FOOD SERVICE   Q65   DANVILLE     PA","-5.5","GMC FOOD SERVICE   Q65   DANVILLE     PA","{"Fast Food": 306}","","",""
"33379","DC","","","","GENGISKHAN","306","52.4","GENGISKHAN               CALABASAS    CA","11.8","GENGISKHAN               CALABASAS    CA","{"Fast Food": 306}","","",""
"33426","DC","","","","GAS STATION LAIE","306","57.2","GAS STATION LAIE #47     LAIE         HI","1","GAS STATION LAIE #47     LAIE         HI","{"Groceries": 306}","","",""
"33408","DC","","","","FRANKLIN PLANNER","306","253.6","FRANKLIN PLANNER         800-654-1776 UT","-46","FRANKLIN PLANNER         800-654-1776 UT","{"Office Supplies": 306}","","",""
"33929","DC","","","","FLOWROUTE.COM","306","190","FLOWROUTE.COM            HTTPSWWW.FLOWWA","13.4","FLOWROUTE.COM            HTTPSWWW.FLOWWA","{"Home Phone": 306}","","",""
"33342","DC","","","","DISCOUNT DIVAS","306","222.5","DISCOUNT DIVAS           2566526584   AL","-26","DISCOUNT DIVAS           256-652-6584 AL","{"Electronics & Software": 306}","","",""
"22136","DC","","","","Copper Chef","306","235.1","TSP*Copper Chef          973-2875176  PA","-39.9","TSP*Copper Chef          973-2875176  PA","{"Shopping": 306}","{"TSP": 306}","",""
"38716","DC","","","","CHRISTIAN BROTHERS AUTOMO","306","987.5","CHRISTIAN BROTHERS AUTOMOOMAHA        NE","-34.2","CHRISTIAN BROTHERS AUTOMOBRENTWOOD    TN","{"Service & Parts": 306}","","",""
"33411","DC","","","","CHILDRENS HOPECHE","306","540","CHILDRENS HOPECHE        WWW.HOPECHESTCO","0","CHILDRENS HOPECHE        WWW.HOPECHESTCO","{"Gifts & Donations": 306}","{"BB": 37}","",""
